post_id,stock_name,stock_code,title,label,model_score
80,SK하이닉스,000660,앤티들아,neutral,0.0
106,SK하이닉스,000660,에제 206만원에 200주 사서 간다[1],positive,0.0
235,카카오,035720,네이버 노조가 상전이냐  ?[1],negative,0.0
2412,삼성전자,005930,법을 제대로 작동시키면 좌파들이 멸망,neutral,-0.001
403,SK하이닉스,000660,나참[1],negative,-0.121
1855,SK하이닉스,000660,안티들 고생많다..,neutral,-0.104
3356,SK하이닉스,000660,반도체가격폭등![2],positive,0.919
1829,삼성전자,005930,담주부터 차트가 확꺽이겠네...[3],negative,0.0
1192,삼성전자,005930,디램 수요 좌절중,negative,-0.987
216,카카오,035720,2Q 26 카카오 예상실적,neutral,0.0
2545,NAVER,035420,개인이 매수해서 안가는거냐[1],neutral,0.032
2444,SK하이닉스,000660,이제 냅두면 단기론 290까진 간다,positive,-0.007
2524,NAVER,035420,팩트로 조져줄게[4],neutral,-0.011
116,SK하이닉스,000660,전라닉스의 미래는,negative,0.0
557,LG화학,051910,베네수엘라 원유 도입 시작,neutral,0.997
137,NAVER,035420,고연봉자들이 매너리즘에 빠진 기업[1],negative,0.0
63,SK하이닉스,000660,트럼프 쿠팡사태 용납 하지 않겠다,neutral,0.0
1835,삼성전자,005930,2030을보수로볼수있겠냐.[1],neutral,0.0
1231,삼성전자,005930,이승만이 현명한 이유기[1],neutral,0.0
556,LG화학,051910,베네수엘라 원유도입이 lg화학에 미치는 영향,neutral,-0.004
1838,삼성전자,005930,ㅋ 2003년 부터 한배 태극동지회가 ...,neutral,-0.002
101,SK하이닉스,000660,빅테크가 더 이상 반도체 못산다는데[3],neutral,0.0
2430,삼성전자,005930,고점 쌍봉이 거꾸로  바닥이라면,negative,-0.004
2562,NAVER,035420,"네이버, 카카오, NC[2]",positive,0.225
1889,SK하이닉스,000660,월욜,neutral,0.029
2541,NAVER,035420,고수가 한마디,negative,-0.002
3336,삼성전자,005930,그만하면 됐다,negative,-0.01
1878,SK하이닉스,000660,아 ㅋㅋ ai수요 많으면 뭐하누 나가는 비용이 더많은데,negative,0.0
1272,SK하이닉스,000660,POST_NOT_EXIST,neutral,0.0
1887,SK하이닉스,000660,POST_NOT_EXIST,neutral,0.0
480,카카오,035720,가즈아 ,positive,-0.006
2700,삼성전자,005930,✔️,neutral,-0.022
4862,SK하이닉스,000660,Adr 상장..,negative,0.042
410,SK하이닉스,000660,POST_NOT_EXIST,neutral,0.0
184,카카오,035720,POST_NOT_EXIST,neutral,0.0
114,SK하이닉스,000660,1주 가지고,neutral,0.0
4796,삼성전자,005930,윤석열 김건희 한동훈 한덕수가 ,negative,-0.105
62,SK하이닉스,000660,언론사 믿지마셔요,negative,0.0
6263,삼성전자,005930,투자가 삼성이 하면 다 성공인줄 아네,negative,
575,LG화학,051910,기관 코스피 1조6천매수,positive,0.065
5754,SK하이닉스,000660,#AI 전력핵심설비 기업 주목,negative,0.0
155,NAVER,035420,2분기도 그닥,negative,0.0
1788,삼성전자,005930,POST_NOT_EXIST,neutral,-0.024
4367,카카오,035720,추가상장 추가상장   신나는상장  !,positive,0.0
2458,SK하이닉스,000660,낼은,negative,-0.001
3299,삼성전자,005930,내란 임무 종사자 추갱호,neutral,0.0
139,NAVER,035420,아. .  당장  월요일에  좀 올랐음 좋겠다.,neutral,1.0
1863,SK하이닉스,000660,POST_NOT_EXIST,neutral,-0.001
2405,삼성전자,005930,기관넘들 포지션은 주식이든 파생이든 절대 믿을 수 없는 이유???,negative,-0.005
1819,삼성전자,005930,2026년 3분기 실적발표 10월 중순경. ,neutral,0.0
2467,SK하이닉스,000660,에초에 마이크론이랑 ,positive,-0.001
2560,NAVER,035420,거의 다왔는데 이걸 못버티냐,positive,-0.071
6270,삼성전자,005930,레버리지 보너스 때문에 양방향 다먹으려고 많이 흔들거같은데....,neutral,
4863,SK하이닉스,000660,Sk휴닉스 전재산 걸고 내일 상황예언합니다,neutral,-0.039
3004,삼성전자,005930,쿠팡,negative,0.01
426,NAVER,035420,고수가 한마디,negative,-0.002
142,NAVER,035420,매도후 1개월이 지나도 ,negative,-1.0
366,SK하이닉스,000660,주식 고수님들,neutral,0.0
5057,삼성전자,005930,POST_NOT_EXIST,neutral,0.0
4960,카카오,035720,노사 니들은 주말이랍시고쉬냐?,negative,-0.002
268,LG화학,051910,꼬락서니 보니,negative,0.0
2842,NAVER,035420,6개월 후 13만원,neutral,0.012
2684,삼성전자,005930,USA 독립기념일 250주년,neutral,0.0
481,카카오,035720,진짜,negative,-0.009
4939,카카오,035720,정 신아 대표님  파이팅  !,positive,0.0
4845,SK하이닉스,000660,그거암? 마이크론 지금 현재 매출액이랑 주당순이익 대비 주가는 고평가인거...,neutral,-0.274
4782,삼성전자,005930,요근래 삼전 매수한 주린이들..실적 어쩌구 저쩌구.,neutral,-0.932
330,삼성전자,005930,POST_NOT_EXIST,neutral,-0.33
5404,삼성전자,005930,윤석열 김건희 한동훈 한덕수가 ,negative,-0.105
111,SK하이닉스,000660,박스권 라인 형성 됐네,neutral,0.0
1874,SK하이닉스,000660,고통받는개미,neutral,-0.998
461,NAVER,035420,POST_NOT_EXIST,neutral,-0.227
5700,삼성전자,005930,이 종토방은,negative,-0.025
5947,삼성전자,005930,ㆍ감사를 모르는 전ㄹ도 근성 ㆍ 이게 ㅆ것 근성 ,negative,-0.492
1891,SK하이닉스,000660,금요일 뻥 상 승에 낚인애들 많네 ㅋㅋ,negative,0.0
2485,SK하이닉스,000660,주택용 전기요금의 징벌적 누진제 폐지 ,neutral,0.0
3289,삼성전자,005930,100년만에 올까말까 한다는데,neutral,0.0
6005,SK하이닉스,000660,난 도저히 이해가 안가는게...,neutral,-0.047
1747,LG화학,051910,7月 월봉(음봉) 바람의 방향은 하방,neutral,-0.001
42,삼성전자,005930,POST_NOT_EXIST,neutral,0.0
126,NAVER,035420,마지막 힌트 8월17일 주식교환 거래일로 1달도 안남았당.   이게 팩트다. 마지막 힌트 준다. ,positive,0.0
5655,삼성전자,005930,2ㅡ3분기 특별배당금,positive,0.77
3024,삼성전자,005930,니들은 휴일도 없냐?,negative,-0.001
555,LG화학,051910,LG엔솔 지분을 모두 현물배당해라.....,positive,0.012
45,삼성전자,005930,POST_NOT_EXIST,neutral,0.0
2449,SK하이닉스,000660,안티들 다 봇된듯... 3분기 메모리 가격 전망 예상치 상회,positive,-0.488
2572,카카오,035720,카카오 vs lg전자,negative,-0.003
499,카카오,035720,작전 후유증,negative,-0.998
5572,카카오,035720,전세금 돌려줄 돈도 없다,negative,0.0
5387,삼성전자,005930,근데 진짜 니들 사고 방식이 이상하네!!,neutral,0.0
2695,삼성전자,005930,"과거 30만원대 에서 2,876,000원 차트 참고. ",positive,-0.482
6,삼성전자,005930,평택공장,positive,0.0
5364,삼성전자,005930,긴급 비보,negative,0.0
259,LG화학,051910,똥싸고있구나..,negative,0.0
468,NAVER,035420,삼겹살값 환불받아라,negative,-0.501
5512,NAVER,035420,외인물량40퍼 이상될때까지 ,negative,-0.372
374,SK하이닉스,000660,금요일 뻥 상 승에 낚인애들 많네 ㅋㅋ,negative,0.0
463,NAVER,035420,검색은 구글에 밀리고 쇼핑은 쿠팡에 밀려,negative,-0.796
6267,삼성전자,005930,7.3. 삼성전자 매매동향.,neutral,
3673,SK하이닉스,000660,SK하이닉스 2분기 예상 실적(증권사 예측/과거 실적 발표일 주가) 리포트 공유~!,positive,0.359
351,삼성전자,005930,대구는 추경호가 곧 테슬라 유치,neutral,-0.002
3297,삼성전자,005930,배재고.그냥뒀다간.,negative,-0.067
1590,SK하이닉스,000660,하이닉스 역배열 진행중,positive,0.023
2417,삼성전자,005930,천천이 우상향 으로 올리면 4년 이상 우상향. ,positive,0.001
236,카카오,035720,네이버한테 허락 받아야 파업 멈추나?,negative,0.0
